_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.9,mmu05134,Legionellosis,M1,1,0
1,-28,R-MMU-8939902,Regulation of RUNX2 expression and activity,M1,1,0
1,-24,ko03050,Proteasome,M1,1,0
1,-2.5,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-4.2,R-MMU-9663891,Selective autophagy,M1,1,0
1,-2.5,GO:0002894,positive regulation of type II hypersensitivity,M1,1,0
1,-7.8,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-6,GO:0072522,purine-containing compound biosynthetic process,M1,1,0
1,-23,R-MMU-4608870,Asymmetric localization of PCP proteins,M1,1,0
1,-3.5,GO:0050777,negative regulation of immune response,M1,1,0
1,-7.2,R-MMU-5653656,Vesicle-mediated transport,M1,1,0
1,-6.5,WP2271,Macrophage markers,M1,1,0
1,-3.5,GO:0006575,cellular modified amino acid metabolic process,M1,1,0
1,-2.3,GO:1903205,regulation of hydrogen peroxide-induced cell death,M1,1,0
1,-2.4,R-MMU-9664873,Pexophagy,M1,1,0
1,-3.4,GO:1904951,positive regulation of establishment of protein localization,M1,1,0
1,-2.7,GO:0001776,leukocyte homeostasis,M1,1,0
1,-4.7,WP163,Cytoplasmic Ribosomal Proteins,M1,1,0
1,-2.2,GO:0001961,positive regulation of cytokine-mediated signaling pathway,M1,1,0
1,-2,GO:0071285,cellular response to lithium ion,M1,1,0
1,-6.4,GO:2001242,regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.6,GO:0042743,hydrogen peroxide metabolic process,M1,1,0
1,-2.5,GO:0002445,type II hypersensitivity,M1,1,0
1,-20,R-MMU-69052,Switching of origins to a post-replicative state,M1,1,0
1,-25,R-MMU-1169091,Activation of NF-kappaB in B cells,M1,1,0
1,-3.3,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.5,GO:0070897,transcription preinitiation complex assembly,M1,1,0
1,-3.3,GO:0002832,negative regulation of response to biotic stimulus,M1,1,0
1,-4.3,GO:0019058,viral life cycle,M1,1,0
1,-2.3,GO:1905288,vascular associated smooth muscle cell apoptotic process,M1,1,0
1,-5.7,R-MMU-72312,rRNA processing,M1,1,0
1,-3.2,GO:0051085,chaperone cofactor-dependent protein refolding,M1,1,0
1,-27,R-MMU-5676590,NIK-->noncanonical NF-kB signaling,M1,1,0
1,-16,R-MMU-453274,Mitotic G2-G2/M phases,M1,1,0
1,-3.9,GO:1902882,regulation of response to oxidative stress,M1,1,0
1,-3.6,mmu_M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M1,1,0
1,-3.4,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",M1,1,0
1,-2.8,GO:0045824,negative regulation of innate immune response,M1,1,0
1,-2.3,GO:1901222,regulation of NIK/NF-kappaB signaling,M1,1,0
1,-2.7,R-MMU-446210,Synthesis of UDP-N-acetyl-glucosamine,M1,1,0
1,-2.1,GO:0022613,ribonucleoprotein complex biogenesis,M1,1,0
1,-2.5,GO:0030832,regulation of actin filament length,M1,1,0
1,-2.4,R-MMU-937042,IRAK2 mediated activation of TAK1 complex,M1,1,0
1,-2.1,ko05340,Primary immunodeficiency,M1,1,0
1,-2.3,GO:0033539,fatty acid beta-oxidation using acyl-CoA dehydrogenase,M1,1,0
1,-4.8,R-MMU-1632852,Macroautophagy,M1,1,0
1,-3.6,ko00062,Fatty acid elongation,M1,1,0
1,-2.6,GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process,M1,1,0
1,-20,R-MMU-3858494,Beta-catenin independent WNT signaling,M1,1,0
1,-2.7,WP298,G13 Signaling Pathway,M1,1,0
1,-4.1,GO:0016042,lipid catabolic process,M1,1,0
1,-2.2,GO:0002577,regulation of antigen processing and presentation,M1,1,0
1,-2.3,R-MMU-444473,Formyl peptide receptors bind formyl peptides and many other ligands,M1,1,0
1,-3.3,GO:0052548,regulation of endopeptidase activity,M1,1,0
1,-3,GO:0001836,release of cytochrome c from mitochondria,M1,1,0
1,-2.7,GO:0070200,establishment of protein localization to telomere,M1,1,0
1,-2.1,GO:1903050,regulation of proteolysis involved in cellular protein catabolic process,M1,1,0
1,-6.3,GO:0051452,intracellular pH reduction,M1,1,0
1,-8,ko04932,Non-alcoholic fatty liver disease (NAFLD),M1,1,0
1,-11,GO:0046034,ATP metabolic process,M1,1,0
1,-3.8,mmu05140,Leishmaniasis,M1,1,0
1,-6.1,R-MMU-2132295,MHC class II antigen presentation,M1,1,0
1,-2.5,mmu05168,Herpes simplex infection,M1,1,0
1,-2.3,mmu04612,Antigen processing and presentation,M1,1,0
1,-3.7,GO:0055094,response to lipoprotein particle,M1,1,0
1,-3.8,GO:0042116,macrophage activation,M1,1,0
1,-2.1,GO:0050820,positive regulation of coagulation,M1,1,0
1,-4.5,GO:0071346,cellular response to interferon-gamma,M1,1,0
1,-2.5,mmu04064,NF-kappa B signaling pathway,M1,1,0
1,-2.6,GO:0055065,metal ion homeostasis,M1,1,0
1,-2.8,GO:0036474,cell death in response to hydrogen peroxide,M1,1,0
1,-4.4,GO:1990542,mitochondrial transmembrane transport,M1,1,0
1,-3.8,GO:0001803,regulation of type III hypersensitivity,M1,1,0
1,-21,R-MMU-195253,Degradation of beta-catenin by the destruction complex,M1,1,0
1,-2.8,GO:0034314,Arp2/3 complex-mediated actin nucleation,M1,1,0
1,-3.4,GO:1901031,regulation of response to reactive oxygen species,M1,1,0
1,-3.1,GO:0042273,ribosomal large subunit biogenesis,M1,1,0
1,-3.1,R-MMU-450302,activated TAK1 mediates p38 MAPK activation,M1,1,0
1,-5.5,GO:0042440,pigment metabolic process,M1,1,0
1,-3.1,GO:1905521,regulation of macrophage migration,M1,1,0
1,-14,R-MMU-8878171,Transcriptional regulation by RUNX1,M1,1,0
1,-2.9,GO:0032615,interleukin-12 production,M1,1,0
1,-2.9,GO:0002228,natural killer cell mediated immunity,M1,1,0
1,-2.8,GO:0006809,nitric oxide biosynthetic process,M1,1,0
1,-3.6,R-MMU-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,M1,1,0
1,-2.9,GO:0034620,cellular response to unfolded protein,M1,1,0
1,-4.3,M00002,"Glycolysis, core module involving three-carbon compounds",M1,1,0
1,-3,GO:0002221,pattern recognition receptor signaling pathway,M1,1,0
1,-3.7,GO:0098761,cellular response to interleukin-7,M1,1,0
1,-26,R-MMU-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,M1,1,0
1,-2.6,GO:0017014,protein nitrosylation,M1,1,0
1,-8.1,GO:0044403,biological process involved in symbiotic interaction,M1,1,0
1,-3.1,R-MMU-77346,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,M1,1,0
1,-2.7,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,M1,1,0
1,-2.5,GO:0009991,response to extracellular stimulus,M1,1,0
1,-2.7,mmu04140,Autophagy - animal,M1,1,0
1,-7.4,R-MMU-72689,Formation of a pool of free 40S subunits,M1,1,0
1,-2.2,GO:0001818,negative regulation of cytokine production,M1,1,0
1,-5.4,GO:0009260,ribonucleotide biosynthetic process,M1,1,0
1,-3.4,GO:0006801,superoxide metabolic process,M1,1,0
1,-13,R-MMU-201681,TCF dependent signaling in response to WNT,M1,1,0
1,-3.4,mmu_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",M1,1,0
1,-5.5,GO:0006511,ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.2,GO:0033240,positive regulation of cellular amine metabolic process,M1,1,0
1,-28,R-MMU-8878166,Transcriptional regulation by RUNX2,M1,1,0
1,-3.4,GO:0009611,response to wounding,M1,1,0
1,-16,R-MMU-5358351,Signaling by Hedgehog,M1,1,0
1,-24,R-MMU-69656,Cyclin A:Cdk2-associated events at S phase entry,M1,1,0
1,-16,R-MMU-69275,G2/M Transition,M1,1,0
1,-2.7,GO:0038061,NIK/NF-kappaB signaling,M1,1,0
1,-4.2,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-7.8,R-MMU-72613,Eukaryotic Translation Initiation,M1,1,0
1,-2.6,GO:1905146,lysosomal protein catabolic process,M1,1,0
1,-3.6,mmu00062,Fatty acid elongation,M1,1,0
1,-2.2,GO:0045089,positive regulation of innate immune response,M1,1,0
1,-2.7,GO:0045006,DNA deamination,M1,1,0
1,-3.6,GO:0032635,interleukin-6 production,M1,1,0
1,-5.2,R-MMU-77310,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,M1,1,0
1,-2.7,R-MMU-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),M1,1,0
1,-6.9,mmu04932,Non-alcoholic fatty liver disease (NAFLD),M1,1,0
1,-5.1,GO:0008637,apoptotic mitochondrial changes,M1,1,0
1,-4,GO:0046148,pigment biosynthetic process,M1,1,0
1,-7.8,ko04141,Protein processing in endoplasmic reticulum,M1,1,0
1,-23,ko04142,Lysosome,M1,1,0
1,-4.4,R-MMU-5357801,Programmed Cell Death,M1,1,0
1,-4.3,M00087,beta-Oxidation,M1,1,0
1,-3.4,GO:2000121,regulation of removal of superoxide radicals,M1,1,0
1,-2,GO:0002688,regulation of leukocyte chemotaxis,M1,1,0
1,-8.3,ko04145,Phagosome,M1,1,0
1,-3.2,GO:0045921,positive regulation of exocytosis,M1,1,0
1,-2.2,R-MMU-5696394,DNA Damage Recognition in GG-NER,M1,1,0
1,-2.5,GO:0071353,cellular response to interleukin-4,M1,1,0
1,-9.4,R-MMU-5683057,MAPK family signaling cascades,M1,1,0
1,-5.9,GO:0071450,cellular response to oxygen radical,M1,1,0
1,-4.6,GO:0009117,nucleotide metabolic process,M1,1,0
1,-3.6,GO:1903827,regulation of cellular protein localization,M1,1,0
1,-2.9,mmu04144,Endocytosis,M1,1,0
1,-3,GO:0042267,natural killer cell mediated cytotoxicity,M1,1,0
1,-2.4,mmu_M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",M1,1,0
1,-2.5,GO:0042254,ribosome biogenesis,M1,1,0
1,-3.2,GO:0071219,cellular response to molecule of bacterial origin,M1,1,0
1,-2.3,ko05100,Bacterial invasion of epithelial cells,M1,1,0
1,-5.6,mmu03010,Ribosome,M1,1,0
1,-2.3,GO:0031333,negative regulation of protein-containing complex assembly,M1,1,0
1,-24,R-MMU-350562,Regulation of ornithine decarboxylase (ODC),M1,1,0
1,-3.7,GO:0032755,positive regulation of interleukin-6 production,M1,1,0
1,-4.4,CORUM:52,CCT complex (chaperonin containing TCP1 complex),M1,1,0
1,-3.6,WP246,TNF-alpha NF-kB Signaling Pathway,M1,1,0
1,-2.3,GO:0046395,carboxylic acid catabolic process,M1,1,0
1,-4,GO:0042776,mitochondrial ATP synthesis coupled proton transport,M1,1,0
1,-2.9,GO:0055072,iron ion homeostasis,M1,1,0
1,-2.9,GO:1990266,neutrophil migration,M1,1,0
1,-2.5,GO:0048872,homeostasis of number of cells,M1,1,0
1,-4.3,R-MMU-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,M1,1,0
1,-18,R-MMU-449147,Signaling by Interleukins,M1,1,0
1,-3.8,R-MMU-5656121,Translesion synthesis by POLI,M1,1,0
1,-7.1,R-MMU-199991,Membrane Trafficking,M1,1,0
1,-2.8,GO:0070936,protein K48-linked ubiquitination,M1,1,0
1,-32,R-MMU-9711123,Cellular response to chemical stress,M1,1,0
1,-3,ko04144,Endocytosis,M1,1,0
1,-24,R-MMU-4641258,Degradation of DVL,M1,1,0
1,-2.5,R-MMU-5626467,RHO GTPases activate IQGAPs,M1,1,0
1,-3.8,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-7.8,GO:1990748,cellular detoxification,M1,1,0
1,-2,R-MMU-168142,Toll Like Receptor 10 (TLR10) Cascade,M1,1,0
1,-3.4,GO:0048524,positive regulation of viral process,M1,1,0
1,-3.9,R-MMU-9674555,Signaling by CSF3 (G-CSF),M1,1,0
1,-16,R-MMU-8951664,Neddylation,M1,1,0
1,-22,R-MMU-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,M1,1,0
1,-2.3,R-MMU-70171,Glycolysis,M1,1,0
1,-23,R-MMU-174154,APC/C:Cdc20 mediated degradation of Securin,M1,1,0
1,-23,R-MMU-983705,Signaling by the B Cell Receptor (BCR),M1,1,0
1,-20,R-MMU-174143,APC/C-mediated degradation of cell cycle proteins,M1,1,0
1,-2.2,GO:0007339,binding of sperm to zona pellucida,M1,1,0
1,-2.5,GO:0002685,regulation of leukocyte migration,M1,1,0
1,-3.3,GO:0070202,regulation of establishment of protein localization to chromosome,M1,1,0
1,-2.1,mmu04150,mTOR signaling pathway,M1,1,0
1,-14,R-MMU-983168,Antigen processing: Ubiquitination & Proteasome degradation,M1,1,0
1,-2.4,GO:1990182,exosomal secretion,M1,1,0
1,-6.8,ko04966,Collecting duct acid secretion,M1,1,0
1,-2.2,GO:0002715,regulation of natural killer cell mediated immunity,M1,1,0
1,-2.7,GO:0006875,cellular metal ion homeostasis,M1,1,0
1,-2.1,GO:0031163,metallo-sulfur cluster assembly,M1,1,0
1,-2.3,ko03013,RNA transport,M1,1,0
1,-5.7,GO:0046390,ribose phosphate biosynthetic process,M1,1,0
1,-5.5,mmu05169,Epstein-Barr virus infection,M1,1,0
1,-2.1,GO:1901659,glycosyl compound biosynthetic process,M1,1,0
1,-17,mmu00190,Oxidative phosphorylation,M1,1,0
1,-7.7,mmu04141,Protein processing in endoplasmic reticulum,M1,1,0
1,-2.5,GO:0002443,leukocyte mediated immunity,M1,1,0
1,-2.5,ko05168,Herpes simplex infection,M1,1,0
1,-9.5,GO:0051603,proteolysis involved in cellular protein catabolic process,M1,1,0
1,-3.6,GO:0051090,regulation of DNA-binding transcription factor activity,M1,1,0
1,-3.1,R-MMU-937039,IRAK1 recruits IKK complex,M1,1,0
1,-3.1,GO:1903900,regulation of viral life cycle,M1,1,0
1,-2.3,R-MMU-9708530,Regulation of BACH1 activity,M1,1,0
1,-2.1,GO:0046931,pore complex assembly,M1,1,0
1,-24,R-MMU-68827,CDT1 association with the CDC6:ORC:origin complex,M1,1,0
1,-15,R-MMU-68882,Mitotic Anaphase,M1,1,0
1,-4.4,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3.2,GO:0036473,cell death in response to oxidative stress,M1,1,0
1,-2.3,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",M1,1,0
1,-4.9,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-3.4,GO:0070203,regulation of establishment of protein localization to telomere,M1,1,0
1,-3.5,GO:0046651,lymphocyte proliferation,M1,1,0
1,-5.4,GO:0036296,response to increased oxygen levels,M1,1,0
1,-22,R-MMU-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,M1,1,0
1,-3.6,GO:0000338,protein deneddylation,M1,1,0
1,-3,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-2.9,R-MMU-901042,Calnexin/calreticulin cycle,M1,1,0
1,-2.5,GO:0030150,protein import into mitochondrial matrix,M1,1,0
1,-2.5,GO:0001796,regulation of type IIa hypersensitivity,M1,1,0
1,-2.4,GO:0070265,necrotic cell death,M1,1,0
1,-2.9,GO:0042985,negative regulation of amyloid precursor protein biosynthetic process,M1,1,0
1,-2.4,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,M1,1,0
1,-2.6,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-9,GO:0045333,cellular respiration,M1,1,0
1,-3,R-MMU-6807878,COPI-mediated anterograde transport,M1,1,0
1,-2.1,GO:0046031,ADP metabolic process,M1,1,0
1,-2.2,GO:0006623,protein targeting to vacuole,M1,1,0
1,-4.4,GO:0051701,biological process involved in interaction with host,M1,1,0
1,-2,GO:0035794,positive regulation of mitochondrial membrane permeability,M1,1,0
1,-2.6,GO:0042744,hydrogen peroxide catabolic process,M1,1,0
1,-7.3,GO:0009142,nucleoside triphosphate biosynthetic process,M1,1,0
1,-5.7,R-MMU-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,M1,1,0
1,-2.4,R-MMU-1169410,Antiviral mechanism by IFN-stimulated genes,M1,1,0
1,-4.6,GO:2000106,regulation of leukocyte apoptotic process,M1,1,0
1,-2.4,GO:0043542,endothelial cell migration,M1,1,0
1,-4.1,GO:1903202,negative regulation of oxidative stress-induced cell death,M1,1,0
1,-2.3,GO:0001774,microglial cell activation,M1,1,0
1,-6,mmu05323,Rheumatoid arthritis,M1,1,0
1,-23,R-MMU-9707564,Cytoprotection by HMOX1,M1,1,0
1,-12,R-MMU-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",M1,1,0
1,-18,R-MMU-69306,DNA Replication,M1,1,0
1,-2.1,GO:0140112,extracellular vesicle biogenesis,M1,1,0
1,-6.6,GO:0006754,ATP biosynthetic process,M1,1,0
1,-5.7,GO:0009636,response to toxic substance,M1,1,0
1,-2,GO:0050870,positive regulation of T cell activation,M1,1,0
1,-2.1,R-MMU-422475,Axon guidance,M1,1,0
1,-2.1,R-MMU-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,M1,1,0
1,-2.7,mmu01212,Fatty acid metabolism,M1,1,0
