Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,mmu03010,Ribosome,,-25,9.2,17,18969,129,589,37,6.3,1,19933|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|54217|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|67945|68052|68436|75617|78294|110954|114641|268449|319195,Rpl21|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a|Rpl17,-22,MyList
KEGG Pathway,24,ko03010,Ribosome,,-25,9.2,17,18969,129,589,37,6.3,1,19933|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|54217|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|67945|68052|68436|75617|78294|110954|114641|268449|319195,Rpl21|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a|Rpl17,-22,MyList
GO Biological Processes,19,GO:0043043,peptide biosynthetic process,,-23,3.9,13,18969,598,589,72,12,1.3,11652|12317|13664|13669|13681|13690|14629|16193|16210|16549|17165|18550|18626|19204|19704|19877|19933|19934|19946|19981|20005|20054|20068|20088|20090|20116|20918|21453|21825|22057|22321|23879|24015|26451|27370|27979|54127|54217|56040|56403|57808|65019|66475|66481|66489|67160|67186|67204|67248|67281|67671|67941|67945|68052|68184|68836|73158|78294|102436|108954|110954|114641|207214|211064|217980|225363|230738|231659|268449|319195|100037258|100038991,Akt2|Calr|Eif1a|Eif3a|Eif4a1|Eif4g2|Gclc|Il6|Impact|Khsrp|Mapkapk5|Furin|Per1|Ptafr|Upf1|Rock1|Rpl21|Rpl22|Rpl30|Rpl37a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Eif1|Tcof1|Thbs1|Tob1|Vars|Fxr2|Abce1|Rpl27a|Rps26|Eif3b|Rps28|Rpl36|Rplp1|Syncrip|Rpl35a|Rpl23|Rps23|Rps21|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Denr|Mrpl52|Larp1|Rps27a|Lars2|Ppp1r15b|Rpl10|Rpl31|Larp4|Alkbh1|Larp4b|Etf1|Zc3h12a|Gcn1|Rpl23a|Rpl17|Dnajc3|Gm2000,-19,MyList
GO Biological Processes,19,GO:0006412,translation,,-22,3.9,13,18969,574,589,70,12,1.3,11652|12317|13664|13669|13681|13690|16193|16210|16549|17165|18626|19204|19704|19877|19933|19934|19946|19981|20005|20054|20068|20088|20090|20116|20918|21453|21825|22057|22321|23879|24015|26451|27370|27979|54127|54217|56040|56403|57808|65019|66475|66481|66489|67160|67186|67204|67248|67281|67671|67941|67945|68052|68184|68836|73158|78294|102436|108954|110954|114641|207214|211064|217980|225363|230738|231659|268449|319195|100037258|100038991,Akt2|Calr|Eif1a|Eif3a|Eif4a1|Eif4g2|Il6|Impact|Khsrp|Mapkapk5|Per1|Ptafr|Upf1|Rock1|Rpl21|Rpl22|Rpl30|Rpl37a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Eif1|Tcof1|Thbs1|Tob1|Vars|Fxr2|Abce1|Rpl27a|Rps26|Eif3b|Rps28|Rpl36|Rplp1|Syncrip|Rpl35a|Rpl23|Rps23|Rps21|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Denr|Mrpl52|Larp1|Rps27a|Lars2|Ppp1r15b|Rpl10|Rpl31|Larp4|Alkbh1|Larp4b|Etf1|Zc3h12a|Gcn1|Rpl23a|Rpl17|Dnajc3|Gm2000,-19,MyList
Reactome Gene Sets,6,R-MMU-72766,Translation,,-21,6.2,14,18969,217,589,42,7.1,1.1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67160|67186|67204|67248|67281|67671|67895|67941|68052|68436|68836|75617|78294|78655|110954|114641|225363|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Ppa1|Rps27l|Rps13|Rpl34|Mrpl52|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Etf1|Rpl23a,-18,MyList
GO Biological Processes,19,GO:0043604,amide biosynthetic process,,-21,3.4,12,18969,710,589,76,13,1.4,11652|11846|12317|13664|13669|13681|13690|14629|16193|16210|16549|17165|18550|18626|19204|19704|19877|19933|19934|19946|19981|20005|20054|20068|20088|20090|20116|20918|21453|21825|22057|22321|23879|24015|26451|27370|27979|54127|54217|56040|56336|56403|57808|65019|66475|66481|66489|67160|67186|67204|67248|67281|67671|67941|67945|68052|68184|68836|73158|74442|78294|102436|104112|108954|110954|114641|207214|211064|217980|225363|230738|231659|268449|319195|100037258|100038991,Akt2|Arg1|Calr|Eif1a|Eif3a|Eif4a1|Eif4g2|Gclc|Il6|Impact|Khsrp|Mapkapk5|Furin|Per1|Ptafr|Upf1|Rock1|Rpl21|Rpl22|Rpl30|Rpl37a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Eif1|Tcof1|Thbs1|Tob1|Vars|Fxr2|Abce1|Rpl27a|Rps26|Eif3b|Rps28|Rpl36|Rplp1|B4galt5|Syncrip|Rpl35a|Rpl23|Rps23|Rps21|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Denr|Mrpl52|Larp1|Sgms2|Rps27a|Lars2|Acly|Ppp1r15b|Rpl10|Rpl31|Larp4|Alkbh1|Larp4b|Etf1|Zc3h12a|Gcn1|Rpl23a|Rpl17|Dnajc3|Gm2000,-18,MyList
Reactome Gene Sets,6,R-MMU-8953854,Metabolism of RNA,,-20,3.8,12,18969,545,589,65,11,1.3,13681|14113|15381|16549|17164|17749|18521|19052|19172|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|21681|26451|27370|30877|54127|56040|56086|56200|57808|59013|60365|65019|66441|66475|66481|66483|66489|66491|67186|67248|67281|67671|67941|67996|68011|68052|68436|69878|70640|75617|76936|77134|78294|101943|108014|110954|114641|214290|225363|228410|229279|234699|268449|621823,Eif4a1|Fbl|Hnrnpc|Khsrp|Mapkapk2|Polr2k|Pcbp2|Ppp2ca|Psmb4|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Alyref|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Set|Ddx21|Rpl35a|Hnrnph1|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Polr2l|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Srsf6|Snrpg|Rps13|Rpl34|Snrpf|Dcp2|Rps25|Hnrnpm|Hnrnpa0|Rps27a|Sf3b3|Srsf9|Rpl10|Rpl31|Tut7|Etf1|Cstf3|Hnrnpa3|Edc4|Rpl23a|Psme2b,-17,MyList
Reactome Gene Sets,6,R-MMU-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,,-20,6.9,14,18969,168,589,36,6.1,0.99,14113|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|30877|54127|56040|56200|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Fbl|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Ddx21|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-17,MyList
Reactome Gene Sets,6,R-MMU-8868773,rRNA processing in the nucleus and cytosol,,-20,6.9,14,18969,168,589,36,6.1,0.99,14113|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|30877|54127|56040|56200|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Fbl|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Ddx21|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-17,MyList
Reactome Gene Sets,6,R-MMU-72312,rRNA processing,,-20,6.9,14,18969,168,589,36,6.1,0.99,14113|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|30877|54127|56040|56200|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Fbl|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Ddx21|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-17,MyList
KEGG Pathway,24,mmu00190,Oxidative phosphorylation,,-14,6.4,11,18969,135,589,27,4.6,0.86,11951|11957|11958|12856|12864|12866|12867|17705|17719|17721|17991|19225|22272|27425|54405|57423|66091|66142|66152|66377|66576|66594|67126|67530|67895|68198|230075,Atp5g1|Atp5j|Atp5k|Cox17|Cox6c|Cox7a2|Cox7c|ATP6|ND4|ND5|Ndufa2|Ptgs2|Uqcrq|Atp5l|Ndufa1|Atp5j2|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Atp5e|Uqcrb|Ppa1|Ndufb2|Ndufb6,-11,MyList
WikiPathways,27,WP295,Electron Transport Chain,,-14,7.6,12,18969,97,589,23,3.9,0.8,11957|11958|12856|12864|12866|17705|17719|17721|17991|22272|27425|54405|57423|66091|66142|66152|66377|66576|66594|67126|67530|68198|230075,Atp5j|Atp5k|Cox17|Cox6c|Cox7a2|ATP6|ND4|ND5|Ndufa2|Uqcrq|Atp5l|Ndufa1|Atp5j2|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Atp5e|Uqcrb|Ndufb2|Ndufb6,-11,MyList
KEGG Pathway,24,ko00190,Oxidative phosphorylation,,-13,6.4,11,18969,131,589,26,4.4,0.85,11951|11957|11958|12856|12864|12866|12867|17705|17719|17721|17991|22272|27425|54405|57423|66091|66142|66152|66377|66576|66594|67126|67530|67895|68198|230075,Atp5g1|Atp5j|Atp5k|Cox17|Cox6c|Cox7a2|Cox7c|ATP6|ND4|ND5|Ndufa2|Uqcrq|Atp5l|Ndufa1|Atp5j2|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Atp5e|Uqcrb|Ppa1|Ndufb2|Ndufb6,-11,MyList
KEGG Pathway,24,mmu04932,Non-alcoholic fatty liver disease (NAFLD),,-13,5.9,11,18969,154,589,28,4.8,0.88,11652|11911|12125|12856|12864|12866|12867|13063|13198|14104|16193|17991|19225|22272|54405|56637|66091|66142|66152|66377|66576|66594|67530|68198|208104|230075|384783|672195,Akt2|Atf4|Bcl2l11|Cox17|Cox6c|Cox7a2|Cox7c|Cycs|Ddit3|Fasn|Il6|Ndufa2|Ptgs2|Uqcrq|Ndufa1|Gsk3b|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Uqcrb|Ndufb2|Mlxip|Ndufb6|Irs2|Gm10053,-11,MyList
Reactome Gene Sets,6,R-MMU-72702,Ribosomal scanning and start codon recognition,,-13,10,12,18969,57,589,18,3.1,0.71,13669|13681|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Eif4a1|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-10,MyList
Reactome Gene Sets,6,R-MMU-72649,Translation initiation complex formation,,-13,10,12,18969,57,589,18,3.1,0.71,13669|13681|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Eif4a1|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-10,MyList
Reactome Gene Sets,6,R-MMU-72695,"Formation of the ternary complex, and subsequently, the 43S complex",,-13,11,13,18969,50,589,17,2.9,0.69,13669|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-10,MyList
Reactome Gene Sets,6,R-MMU-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",,-13,10,12,18969,58,589,18,3.1,0.71,13669|13681|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Eif4a1|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-10,MyList
GO Biological Processes,19,GO:0002181,cytoplasmic translation,,-11,7.1,10,18969,91,589,20,3.4,0.75,13669|13681|19934|19946|20005|20090|27370|54127|54217|56040|57808|66475|66481|67204|67248|67671|68184|114641|225363|319195,Eif3a|Eif4a1|Rpl22|Rpl30|Rpl9|Rps29|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rps23|Rps21|Eif2s2|Rpl39|Rpl38|Denr|Rpl31|Etf1|Rpl17,-8.6,MyList
Reactome Gene Sets,6,R-MMU-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",,-11,6.2,9.9,18969,115,589,22,3.7,0.78,11951|11957|11958|12867|13063|17705|17719|17721|17991|22272|27425|54405|57423|66091|66142|66152|66359|66377|66576|67126|68198|230075,Atp5g1|Atp5j|Atp5k|Cox7c|Cycs|ATP6|ND4|ND5|Ndufa2|Uqcrq|Atp5l|Ndufa1|Atp5j2|Ndufa3|Cox7b|Uqcr10|Cox20|Ndufc1|Uqcrh|Atp5e|Ndufb2|Ndufb6,-8.4,MyList
KEGG Pathway,24,ko04932,Non-alcoholic fatty liver disease (NAFLD),,-11,5.2,9.2,18969,148,589,24,4.1,0.81,11652|11911|12125|12864|12866|12867|13063|13198|16193|17991|22272|54405|56637|66091|66142|66152|66377|66576|66594|67530|68198|208104|230075|384783,Akt2|Atf4|Bcl2l11|Cox6c|Cox7a2|Cox7c|Cycs|Ddit3|Il6|Ndufa2|Uqcrq|Ndufa1|Gsk3b|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Uqcrb|Ndufb2|Mlxip|Ndufb6|Irs2,-7.7,MyList
KEGG Pathway,24,mmu05012,Parkinson's disease,,-10,5.3,9.2,18969,139,589,23,3.9,0.8,11951|11957|12864|12866|12867|13063|17705|17719|17721|17991|22201|22272|54405|66091|66142|66152|66377|66576|66594|67126|67530|68198|230075,Atp5g1|Atp5j|Cox6c|Cox7a2|Cox7c|Cycs|ATP6|ND4|ND5|Ndufa2|Uba1|Uqcrq|Ndufa1|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Atp5e|Uqcrb|Ndufb2|Ndufb6,-7.5,MyList
WikiPathways,27,WP103,Cholesterol Biosynthesis,,-10,19,13,18969,15,589,9,1.5,0.51,13121|14137|15357|20775|66234|110196|208715|235293|319554,Cyp51|Fdft1|Hmgcr|Sqle|Msmo1|Fdps|Hmgcs1|Sc5d|Idi1,-7.2,MyList
GO Biological Processes,19,GO:0031329,regulation of cellular catabolic process,,-9.7,2.5,7.4,18969,717,589,56,9.5,1.2,11501|11652|12125|12995|13167|13198|13542|13690|14629|15251|15381|15516|15519|16193|16549|16798|16835|17164|17210|18023|18550|19704|19877|20128|21857|21929|22057|22339|23806|23879|30940|50754|54483|56403|56637|59027|65019|67006|70640|73158|74006|75234|75608|75788|76936|77134|80750|93759|100855|108155|210106|214627|217980|230738|252870|384783,Adam8|Akt2|Bcl2l11|Csnk2a1|Dbi|Ddit3|Dvl1|Eif4g2|Gclc|Hif1a|Hnrnpc|Hsp90ab1|Hsp90aa1|Il6|Khsrp|Lats1|Ldlr|Mapkapk2|Mcl1|Nfe2l1|Furin|Upf1|Rock1|Trim30a|Timp1|Tnfaip3|Tob1|Vegfa|Arih1|Fxr2|Usp25|Fbxw7|Mefv|Syncrip|Gsk3b|Nampt|Rpl23|Cisd2|Dcp2|Larp1|Dnm1l|Rnf19b|Chmp4b|Smurf1|Hnrnpm|Hnrnpa0|N4bp1|Sirt1|Tbc1d14|Ogt|Tent4a|Tent4b|Larp4b|Zc3h12a|Usp7|Irs2,-6.9,MyList
KEGG Pathway,24,ko04141,Protein processing in endoplasmic reticulum,,-8.9,4.6,8.2,18969,162,589,23,3.9,0.8,11911|12282|12317|12330|12333|13198|14828|15502|15505|15516|15519|20335|22027|57377|66212|69162|74126|81910|109815|140740|192193|320011|100037258,Atf4|Hyou1|Calr|Canx|Capn1|Ddit3|Hspa5|Dnaja1|Hsph1|Hsp90ab1|Hsp90aa1|Sec61g|Hsp90b1|Mogs|Sec61b|Sec31a|Syvn1|Rrbp1|Selenos|Sec63|Edem1|Uggt1|Dnajc3,-6.2,MyList
